text,label,Translations
I thought you had Asperger's till I realized you're just a prick,1,I thought you had Asperger's till I realized you're just a prick
"Would you stop worrying about your mom, and start worrying about all the fucking pussy that we're gonna smash tonight, bro.",1,"Would you stop worrying about your mom, and start worrying about all the fucking pussy that we're gonna smash tonight, bro."
"Mom, stop being retarded, he's not my boyfriend",1,"Mom, stop being retarded, he's not my boyfriend"
"You want my advice? You fuck her like the whore she is, you kick her ass to the curb",1,"You want my advice? You fuck her like the whore she is, you kick her ass to the curb"
"Yeah, that's real classy, you fucking whore.",1,"Yeah, that's real classy, you fucking whore."
Does anybody know who the fuck this bitch is?,1,Does anybody know who the fuck this bitch is?
This bitch is gonna get fucked up!,1,This bitch is gonna get fucked up!
Please don't be a mass shooter,1,Please don't be a mass shooter
You are so fucking stupid,1,You are so fucking stupid
It's like you have a split personality disorder,1,It's like you have a split personality disorder
I could fucking kill you right now,1,I could fucking kill you right now
"Shut the fuck up, bitch ain't nobody talkin' to you.",1,"Shut the fuck up, bitch ain't nobody talkin' to you."
She's just fat and doesn't wanna exercise.,1,She's just fat and doesn't wanna exercise.
I'm not trying to become best friends with someone who's gonna fucking kill themself,1,I'm not trying to become best friends with someone who's gonna fucking kill themself
"It doesn't really matter, they're both little fuckboy names.",1,"It doesn't really matter, they're both little fuckboy names."
"Look at you, still doing the grapefruit diet.",1,"Look at you, still doing the grapefruit diet."
"Yo, can you please, maybe hurry the fuck up?",1,"Yo, can you please, maybe hurry the fuck up?"
It doesn't matter. I'll just kill her in her sleep if she doesn't let me,1,It doesn't matter. I'll just kill her in her sleep if she doesn't let me
That's literally what it's made for Dumb ass.,1,That's literally what it's made for Dumb ass.
You're literally gonna make me throw up.,1,You're literally gonna make me throw up.
"Yeah, Cassie, don't get pregnant.",1,"Yeah, Cassie, don't get pregnant."
I want all your pledgie faggots up against the wall,1,I want all your pledgie faggots up against the wall
"McKay brought the baddest bitch in the fucking game, yo!",1,"McKay brought the baddest bitch in the fucking game, yo!"
You're a fucking dropout drug dealer with seven functioning fucking brain cells.,1,You're a fucking dropout drug dealer with seven functioning fucking brain cells.
"Yo, why are dressed like a hooker?",1,"Yo, why are dressed like a hooker?"
"Bitch, you're my soul mate.",1,"Bitch, you're my soul mate."
"Yo, for real. When'd you become such a bitch?",1,"Yo, for real. When'd you become such a bitch?"
Was it after you fuckin' OD'd?,1,Was it after you fuckin' OD'd?
"And everywhere you go, for the rest of your life, you'll be harassed, and spat at, and treated like a fucking animal.",1,"And everywhere you go, for the rest of your life, you'll be harassed, and spat at, and treated like a fucking animal."
"I think you're a fucking faggot, just like your daddy.",1,"I think you're a fucking faggot, just like your daddy."
"Yo, straight up? The chick's crazy.",1,"Yo, straight up? The chick's crazy."
"That no matter how cool, or, or sexy or, or smart you think a guy is, they're actually just fucking pathetic.",1,"That no matter how cool, or, or sexy or, or smart you think a guy is, they're actually just fucking pathetic."
"Really, bitch? How?",1,"Really, bitch? How?"
"If you spread a lie like that, I will fucking come for you.",1,"If you spread a lie like that, I will fucking come for you."
Who the fuck are you to judge?,1,Who the fuck are you to judge?
My landlord is such a fucking cocksucker. Ugh.,1,My landlord is such a fucking cocksucker. Ugh.
"Let me see you oink, piggy.",1,"Let me see you oink, piggy."
"These are the kind of people who will strip you fucking naked, and go to work on you with a pair of pliers and a blowtorch",1,"These are the kind of people who will strip you fucking naked, and go to work on you with a pair of pliers and a blowtorch"
