Text,label,Translations
my god woman! How many people do you have to had been with not to remember any of this?,1,my god woman! How many people do you have to had been with not to remember any of this?
"Ahhh, I fold like a cheap hooker who got hit in the stomach by a fat guy with sores on his face.  Oh, I'm out.",1,"Ahhh, I fold like a cheap hooker who got hit in the stomach by a fat guy with sores on his face.  Oh, I'm out."
"Chandler, Chandler Bing. I'm not gay, I'm not gay at all.",1,"Chandler, Chandler Bing. I'm not gay, I'm not gay at all."
Y’know we should probably ask the doctor if she even knows how to deliver a baby that’s half human and half pure evil!,1,Y’know we should probably ask the doctor if she even knows how to deliver a baby that’s half human and half pure evil!
You are a dumbass!,1,You are a dumbass!
" Yeah. So uh Ross, well now—why did that first marriage breakup? Was it because the woman was straight or she was a lesbian?",1," Yeah. So uh Ross, well now—why did that first marriage breakup? Was it because the woman was straight or she was a lesbian?"
" Oh hey, you guys, look! Ugly Naked Guy is putting stuff in boxes!",1," Oh hey, you guys, look! Ugly Naked Guy is putting stuff in boxes!"
"Oh, hello? This is Monica. You're black.",1,"Oh, hello? This is Monica. You're black."
" No! No, I won’t! I’ll be at the bottom of the dating barrel now. The only guys below me will be Four Divorce Guy uh, Murderer Guy, and-and, Geologists.",1," No! No, I won’t! I’ll be at the bottom of the dating barrel now. The only guys below me will be Four Divorce Guy uh, Murderer Guy, and-and, Geologists."
…I am jealous of her?! I mean who does she think she is?! Princess Caroline?! She sucks.,1,…I am jealous of her?! I mean who does she think she is?! Princess Caroline?! She sucks.
"I am trying to open your eyes, my man! Don't you see, if you lived with Phoebe she's always gonna be there. You're gonna get home, she's there. You go to bed, she's there. You wake up and oh yes, she's there! What the fuck?",1,"I am trying to open your eyes, my man! Don't you see, if you lived with Phoebe she's always gonna be there. You're gonna get home, she's there. You go to bed, she's there. You wake up and oh yes, she's there! What the fuck?"
I know! They suck!!,1,I know! They suck!!
"Okay, see that blind guy right there? I'm gonna bash his head in later.",1,"Okay, see that blind guy right there? I'm gonna bash his head in later."
Yep! As long as you understand that I'm going to call my lawyer and once he puts you on the stand he'll make you look like a fool. A fool!,1,Yep! As long as you understand that I'm going to call my lawyer and once he puts you on the stand he'll make you look like a fool. A fool!
"I don’t know! I don’t—maybe you’re feeling a little resentful. Maybe ah, maybe you thought you’d get married first! Maybe you can’t stand the fact that your formally fat friend is getting married before you!",1,"I don’t know! I don’t—maybe you’re feeling a little resentful. Maybe ah, maybe you thought you’d get married first! Maybe you can’t stand the fact that your formally fat friend is getting married before you!"
My wife turned into a lesbian.,1,My wife turned into a lesbian.
"Well, he’s not used to women being so forward with him; but uh, I good check with him—He says it’s okay.  Great! Thanks! Bye-bye!",1,"Well, he’s not used to women being so forward with him; but uh, I good check with him—He says it’s okay.  Great! Thanks! Bye-bye!"
"Woha! Wait... What are we doing? What we have is too important to mess it up over some girl. I mean, we can get laid anytime we want.",1,"Woha! Wait... What are we doing? What we have is too important to mess it up over some girl. I mean, we can get laid anytime we want."
Some girl ate Monica!,1,Some girl ate Monica!
Ridiculously Dull Bobby,1,Ridiculously Dull Bobby
"What are you talking about, one woman?! That’s like saying there is only one flavor of ice cream for you. ... Welcome back to the world, grab a spoon!",1,"What are you talking about, one woman?! That’s like saying there is only one flavor of ice cream for you. ... Welcome back to the world, grab a spoon!"
How goes the dancing? Gay yet?,1,How goes the dancing? Gay yet?
Don’t you have a little too much penis to wear a dress like that?,1,Don’t you have a little too much penis to wear a dress like that?
"So you’re just, like, a guy who’s a nanny?",1,"So you’re just, like, a guy who’s a nanny?"
"Hey check me out, I’m a slut!",1,"Hey check me out, I’m a slut!"
"Oh my god, where are all the men!?",1,"Oh my god, where are all the men!?"
"Dumb, old perfect-for-the-job Hilda.",1,"Dumb, old perfect-for-the-job Hilda."
Everybody says you have both male and female reproductive parts.,1,Everybody says you have both male and female reproductive parts.
"Oh, you want something serious. Y'know what you should do, you should get her one of those um, barium enemas. Those are dead serious.",0,"Oh, you want something serious. Y'know what you should do, you should get her one of those um, barium enemas. Those are dead serious."
"Oh it’s been going on way to long now. Y’know, I mean the first time he said it we were just passing each other in the hallway, so I didn’t say anything. And then the next time he said, ""Hey Toby, do you want a donut?"" And I-I wanted a donut. And now it’s five years later, the donut’s gone and I’m still Toby.",0,"Oh it’s been going on way to long now. Y’know, I mean the first time he said it we were just passing each other in the hallway, so I didn’t say anything. And then the next time he said, ""Hey Toby, do you want a donut?"" And I-I wanted a donut. And now it’s five years later, the donut’s gone and I’m still Toby."
"I know, and she's always bragging about all the famous people she's met.",0,"I know, and she's always bragging about all the famous people she's met."
"I don’t want to drive all the way back by myself, I get so lonely.  Oh—ooh! How about you come with me?",0,"I don’t want to drive all the way back by myself, I get so lonely.  Oh—ooh! How about you come with me?"
"Well, we-we said we’d just do it that one time but, but now I think she may wanna start things up again.",0,"Well, we-we said we’d just do it that one time but, but now I think she may wanna start things up again."
"Yeah, I got this number from this guy at work and I hired a stripper to come dance for you. Am I going in the wife hall of fame or what?!",0,"Yeah, I got this number from this guy at work and I hired a stripper to come dance for you. Am I going in the wife hall of fame or what?!"
Chandler was how old when he first touched a girl’s breast?,0,Chandler was how old when he first touched a girl’s breast?
"According to Chandler, what phenomenon scares the bejeezus out of him?",0,"According to Chandler, what phenomenon scares the bejeezus out of him?"
"So, I still have boxes here. I still have boxes at Ross’s, and I have nowhere to live! Wow. I could so easily freak out right now.",0,"So, I still have boxes here. I still have boxes at Ross’s, and I have nowhere to live! Wow. I could so easily freak out right now."
"But look Chandler, right now, no one has a lower opinion of you than I do. But I totally believe you can do this.",0,"But look Chandler, right now, no one has a lower opinion of you than I do. But I totally believe you can do this."
"That was you?! We heard about you in Junior High! Did you really just shake your fist in the air and shout, ""I will be revenged?!""",0,"That was you?! We heard about you in Junior High! Did you really just shake your fist in the air and shout, ""I will be revenged?!"""
"Uh, they don't like it when you correct their grammar.",0,"Uh, they don't like it when you correct their grammar."
