Text,label,Translations
"Nevermind, my girlfriend’s a lesbian.",1,"कोई बात नहीं, मेरी गर्लफ्रेंड लेस्बियन है।"
Yuck! Are you gay?,1,छी! क्या आप समलैंगिक हैं?
"Hey, Joey. Are men ever nice to strange women for no reason?",1,"हे, जोए। क्या पुरुष कभी किसी अजनबी महिला के प्रति बिना किसी कारण के अच्छे व्यवहार करते हैं?"
"Wanted:Female Roommate. Non-smoker, non-ugly.",1,"चाहिए: महिला रूममेट. धूम्रपान नहीं, बिना बदसूरती वाली।"
You kissed a guy! Oh my god. Be a man!,1,तुमने एक आदमी को चुम्मा दिया! हे भगवान। एक आदमी बनो!
Whatever dude. You kissed a guy! You don't exist to me.,1,"जैसा चाहो, यार। तुमने एक आदमी को चुम्मा दिया! मेरे लिए तुम मौजूद नहीं हो।"
Old bastard!,1,बूढ़ा कमीना!
You have no standards. You are a person who goes after a guy five minutes after he’s divorced.,1,तुम्हारे कोई मानक नहीं हैं। तुम वह व्यक्ति हो जो पचास मिनट के भीतर तलाक होने के बाद एक आदमी के पीछे जाता है।
"I needed a plan, a plan to get over my man. And what’s opposite of man? Jam.",1,"मुझे एक योजना चाहिए थी, अपने पुरुष से पार करने के लिए। और पुरुष का विपरीत क्या होता है? जाम।"
I know of two surefire ways to shut a man up. And one of them is sex.,1,मुझे दो पक्के तरीके पता हैं जिनसे आदमी को चुप करा सकते हैं। और उनमें से एक है सेक्स। पुरुष मूर्ख होते हैं।
Chandler you are gross. Who watches shark porn!,1,"चैंडलर, तुम घिनौने हो। कौन शार्क पॉर्न देखता है!"
Welcome to the real world pussies! It sucks. ,1,असली दुनिया में आपका स्वागत है! यह बहुत बेकार है।
You are a Womanizer. You won't even be able to name one woman that you broke up with for a real reason,1,"मैं एक औरतों के दीवाने नहीं हूँ। मैं किसी एक औरत का नाम भी उठा नहीं सकता, जिससे मैंने सच्चा कारण बताकर ब्रेकअप किया हो।"
Shame on you! Ugly baby judges you!,1,आप पर लज्जा होनी चाहिए! बदसूरत बच्चा आपका निर्णय करता है! 
"Well, you all know that I am a pacifist which means I am not interested in war — in any way. But when the revolution comes, I will have to destroy you all;",1,"जैसा कि आप सभी जानते हैं, मैं एक शांतिवादी हूँ जिसका अर्थ है कि मुझे युद्ध की कोई इच्छा नहीं है - किसी भी तरीके से नहीं। लेकिन जब क्रांति आएगी, तो मुझे आप सभी को नष्ट करना होगा।"
"Oh, come on, Will. Just take off your shirt and tell us.",1,"अरे, विल, आप बस अपनी शर्ट उतार दीजिए और हमें बताइए।"
You are a pervert.,1,तुम गुमराह आदमी हो।
"Oh, are you setting Ross up with someone? Does she have a wedding dress?",1,"ओह, क्या आप रॉस को किसी के साथ सेट अप कर रहे हैं? क्या उसके पास शादी की पोशाक है?"
Can you see my nipples through this shirt?,1,क्या आप इस शर्ट के माध्यम से मेरे निप्पल देख सकते हैं?
There’s an unattractive nude man playing the cello.,1,वहाँ एक अनाकर्षक नग्न व्यक्ति सेलो बजा रहा है।
"OK. So I’m out $4,000 and nobody’s boobs are getting any bigger?",1,"ठीक है। तो मैं $ 4,000 से बाहर हूं और किसी के स्तन बड़े नहीं हो रहे हैं?"
Look at me! I’m Chandler! Could I be wearing any more clothes?!,1,मेरी तरफ देखो! मैं चांडलर हूँ! क्या मैं और कपड़े पहन सकता हूँ ?!
"Ah, ‘Hotties of the Paleontology Department.’ There’s a big-selling calendar, eh?",1,"अह, 'पेलियोंटोलॉजी विभाग के आकर्षक लोग।' वहाँ एक बड़ी बिक्री वाला कैलेंडर है, है ना?"
I read about all these women trying to have it all and I thank God our little Harmonica doesn’t seem to have that problem.,1,मैंने इसके बारे में पढ़ा है कि कई महिलाएं सबकुछ प्राप्त करने की कोशिश कर रही हैं और मुझे धन्यवाद है कि हमारी छोटी हार्मोनिका को ऐसी समस्या नहीं दिखाई देती।
