Text,label,Translations,Language
"Oh my God, your mother!",0,भगवान मेरी माँ! ,Hindi
my god woman! How many people do you have to had been with not to remember any of this?,1,"हे भगवान, महिला! इतने लोगों के साथ तुम्हें कितने संबंध होने चाहिए थे जिन्हें याद नहीं है? ",Hindi
"Ahhh, I fold like a cheap hooker who got hit in the stomach by a fat guy with sores on his face.  Oh, I'm out.",1,"आह, मैं एक सस्ती रंडी की तरह मुड़ गया हूँ जिसे एक मोटे आदमी ने अपने चेहरे पर घावों के साथ पेट में मारा है। ओह, मैं बाहर हूँ।",Hindi
"Chandler, Chandler Bing. I'm not gay, I'm not gay at all.",1,"चैंडलर, चैंडलर बिंग। मैं गे नहीं हूँ, मैं बिल्कुल गे नहीं हूँ।",Hindi
Y’know we should probably ask the doctor if she even knows how to deliver a baby that’s half human and half pure evil!,1,"तुम जानते हो, हमें शायद डॉक्टर से पूछना चाहिए कि उन्हें क्या पता है कि वह कैसे एक बच्चे को पैदा करते हैं जो आधा मानव और आधा पूर्ण बुराई है।",Hindi
You are a dumbass!,1,तुम एक मूर्ख हो!,Hindi
" Yeah. So uh Ross, well now—why did that first marriage breakup? Was it because the woman was straight or she was a lesbian?",1,"हाँ। तो उह रॉस, अब ठीक है - वह पहली शादी क्यों टूट गई? क्या इसलिए कि महिला सीधी थी या वह समलैंगिक थी?",Hindi
" Oh hey, you guys, look! Ugly Naked Guy is putting stuff in boxes!",1,"अरे अरे, तुम लोग, देखो! बदसूरत नंगा आदमी बक्सों में सामान डाल रहा है!",Hindi
"Oh, hello? This is Monica. You're black.",1,ओह हैलो? यह मोनिका है। तुम काले हो।,Hindi
" No! No, I won’t! I’ll be at the bottom of the dating barrel now. The only guys below me will be Four Divorce Guy uh, Murderer Guy, and-and, Geologists.",1,"नहीं! नहीं, मैं नहीं करूँगा! मैं अब डेटिंग बैरल के नीचे रहूंगा। मेरे नीचे केवल चार तलाक वाले लड़के उह, मर्डरर लड़के, और-और, भूवैज्ञानिक होंगे।",Hindi
…I am jealous of her?! I mean who does she think she is?! Princess Caroline?! She sucks.,1,...मुझे उससे जलन हो रही है?! मेरा मतलब है कि वह कौन सोचती है कि वह है ?! राजकुमारी कैरोलीन ?! वह चूसती है।,Hindi
"I am trying to open your eyes, my man! Don't you see, if you lived with Phoebe she's always gonna be there. You're gonna get home, she's there. You go to bed, she's there. You wake up and oh yes, she's there! What the fuck?",1,"मैं तुम्हारी आँखें खोलने की कोशिश कर रहा हूँ, मेरे आदमी! क्या तुम नहीं देखते, अगर तुम फीबे के साथ रहते तो वह हमेशा वहाँ रहती। तुम घर जाने वाले हो, वह वहाँ है। तुम बिस्तर पर जाओ, वह वहाँ है। तुम जागो और ओह हाँ, वह वहाँ है! क्या बकवास है?",Hindi
I know! They suck!!,1,मैं समझता हूँ! महिलाएं निराश करती हैं!! ,Hindi
"Okay, see that blind guy right there? I'm gonna bash his head in later.",1,"ठीक है, वहां देखो वह अंधा आदमी? मैं उसके सिर को बाद में मारने वाला हूँ।",Hindi
Yep! As long as you understand that I'm going to call my lawyer and once he puts you on the stand he'll make you look like a fool. A fool!,1,"हाँ, जब तक आप यह समझें कि मैं अपने वकील को बुला रहा हूं और जब वह आपको गवाही देगा, तब वह आपको मूर्ख दिखाएगा। मूर्ख! ",Hindi
"I don’t know! I don’t—maybe you’re feeling a little resentful. Maybe ah, maybe you thought you’d get married first! Maybe you can’t stand the fact that your formally fat friend is getting married before you!",1,"मुझे नहीं पता! मुझे नहीं पता... शायद आपको थोड़ी सी आपत्ति है। शायद, शायद आपने सोचा था कि आप पहले शादी करेंगे! शायद आपको यह बात अच्छी नहीं लग रही है कि आपका पहले मोटा दोस्त आपसे पहले शादी कर रहा है! ",Hindi
