Language,Text,Label,Translation
Hindi,You should know women's sports are a joke,1,आपको पता होना चाहिए कि महिला खेल एक मजाक होता है।
Hindi,You look like Sloth with deeper Down’s syndrome,1,आप गहरे डाउन सिंड्रोम वाले स्लॉथ की तरह दिखते हैं
Hindi,You look like Russian and speak like Indian. Both are disgusting go kill yourself,1,"आप रूसी की तरह दिखते हैं और भारतीय की तरह बोलते हैं। दोनों घिनौने हैं, जाओ खुद को मार डालो"
Hindi,"Women deserve to be abused, I guess.",1,मुझे लगता है कि महिलाएं दुर्व्यवहार के लायक हैं।
Hindi,Women are made for making babies and cooking dinner and nothing else!!!,1,औरतें बच्चे पैदा करने और रात का खाना बनाने के लिए बनी हैं और कुछ नहीं!!!
Hindi,why haven't you faggots taken the bi-pill yet,1,तुमने अभी तक बाय-पिल क्यों नहीं ली?
Hindi,Why don’t you go beck your god to murder you? Christianity is a joke,1,तुम अपने भगवान को अपनी हत्या करने के लिए क्यों नहीं बुलाते? ईसाई धर्म एक मजाक है
Hindi,why does that african american monkey hold gun like that?,1,अफ्रीकी अमेरिकी बंदर इस तरह बंदूक क्यों रखता है?
Hindi,Why does Bulgaria exist as a country? It's one of those homosexual ones.,1,बुल्गारिया एक देश के रूप में क्यों मौजूद है? यह उन समलैंगिकों में से एक है।
Hindi,Why do negroes tear down their own neighborhoods when a black thug gets killed by law enforcement? Must be because of low IQ.,1,जब कानून प्रवर्तन द्वारा एक काले ठग को मार दिया जाता है तो नीग्रो अपने ही पड़ोस को क्यों नष्ट कर देते हैं? कम बुद्धि के कारण होना चाहिए।
Hindi,who gives aa fuck about shit diamonds from the jews fuck them both,1,जो यहूदियों से बकवास हीरे के बारे में आ बकवास देता है उन दोनों को भाड़ में जाओ
Hindi,Who do you think you are cunt? wtf! Stay steady to aim for head little christian rat,1,आपको क्या लगता है कि आप योनी हैं? डब्ल्यूटीएफ! हेड लिटिल क्रिस्चियन रैट पर निशाना साधने के लिए डटे रहें
Hindi,white people are shit human beings,1,गोरे लोग बकवास इंसान हैं
Hindi,what happened in the good old days when these freaks did not exist ? which sewer have these freaks dragged themselves out of ? its just a manufactured group of freaks who want to cut their cocks off and take it up the arse in the hope that the world will treat them as woman . it takes more than that to be a woman . stop pandering to these twats .,1,अच्छे पुराने दिनों में क्या हुआ था जब ये शैतान मौजूद नहीं थे ? किस नाले से निकले हैं ये दरिंदे? यह सिर्फ शैतानों का एक निर्मित समूह है जो अपने लंड को काट देना चाहते हैं और इस उम्मीद में गधे को उठाना चाहते हैं कि दुनिया उन्हें महिला के रूप में मानेगी। एक महिला होने के लिए इससे कहीं अधिक समय लगता है। इन जाहिलों की दलाली करना बंद करो।
Hindi,What about a global massacre of men? Pussiezzz only girls,1,मर्दों की एक वैश्विक हत्याकांड के बारे में क्या कहेंगे? केवल लड़कियों को?
Hindi,what a disgusting man and disgusting religion. He admits that muslim buy all their wifes ! .pff...This is why all muslims are poor...islam keeps them stupid !,1,कितना घिनौना आदमी है और कितनी घिनौनी धर्म है। वह स्वीकार करता है कि मुस्लिम सभी अपनी पत्नियों को खरीदते हैं! ...हैं! यही कारण है कि सभी मुस्लिम गरीब होते हैं...इस्लाम उन्हें बेवकूफ रखता है!
Hindi,well it's clear now why europeans can't differ niggers and shitskins from human,1,अब यह स्पष्ट हो गया है कि क्यों यूरोपीय लोग हब्शी और शिटस्किन को मानव से अलग नहीं कर सकते
Hindi,"Well im glad that i live in Serbia, migrants and islamists are not welcome here!",1,"मैं सर्बिया में रहने के लिए खुश हूँ, शरणार्थियों और इस्लामवादियों का यहाँ स्वागत नहीं है!"
Hindi,"Well done Slovakia and god bless. DO NOT build mosques, or allow or recognise Islam. They will get the point that EUROPE don't want Muslims here.",1,"अच्छा किया स्लोवाकिया और भगवान आशीर्वाद दे। मस्जिद न बनाएं, या इस्लाम को अनुमति न दें या स्वीकार करें। ये समझेंगे कि यूरोप मुस्लिमों का स्वागत नहीं करता।"
Hindi,"We whites have higher IQ's than blacks, this is because IQ measures intelligence and we are the more evolved and superior race with a larger brain. ",1,"हम गोरों के पास अश्वेतों की तुलना में अधिक आईक्यू है, इसका कारण यह है कि आईक्यू बुद्धि को मापता है और हम एक बड़े मस्तिष्क के साथ अधिक विकसित और श्रेष्ठ जाति हैं।"
Hindi,"we take everyone, sudanese niggers, egyptian shitskins, palirats, syrian and iraqi scums, they're all dogs that behave like niggers, they cost too much, especially syrians, there is way too many of them here, they are arrogant ungrateful backstabbing apes.",1,"हम हर किसी को लेते हैं, सूडानी निगर, मिस्र के शिटस्किन, पलिरेट्स, सीरियन और इराकी मैल, वे सभी कुत्ते हैं जो हब्शी की तरह व्यवहार करते हैं, उनकी कीमत बहुत अधिक है, विशेष रूप से सीरियन, यहां उनमें से बहुत सारे हैं, वे घमंडी कृतघ्न वानर हैं ."
Hindi,"WE NEED THE NAZI PARTY TO RETURN.....GET ANOTHER HITLER...AND FORM THE SS....AND START AN ETHNIC CLEANSING OF ALL MUSLIMS...YES YES..GATHER THEM UP...PUT THEM IN A CONCENTRATION CAMP...THEN PUT THESE MUSLIM REFUGEES ON A SHIP AND SEND THEM ALL BACK TO THIER OWN COUNTRIES ....AND THEY CAN DO AS THEY WANT THERE...LIVE THIER WAYS AND BY THIER RIDICULOUS LAWS.... THEY DON√¢¬Ä¬ôT ASSIMILATE TO THE NEW WESTERN COUNTRIES..AND TRY TO DICTATE TO US WHAT TO DO AND TO EVEN REMOVE JESUS FROM SCHOOLS AND OTHER PUBLIC AREAS...ARE YOU FUCKING SERIOUS...FUCK OFF YOU DIRTY SMELLING MUSLIMS... STOP DICTATING WHAT WE CAN OR CANT DO IN OUR OWN COUNTRIES...√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬° PEOPLE POWER MUST RISE AND SAY ENOUGH IS ENOUGH...TAKE SWEDEN BACK FOR SWEDES...TAKE GREECE BACK FOR GREEKS..TAKE GERMANY BACK..TAKE POLAND BACK..TAKE DENMARK BACK...SAVE OUR COUNTRIES....AND TAKE EUROPE BACK. INTRODUCE AN...SS...STYLE POLICE...AND CLEAN UP THESE STREETS AND GHETTOS....FULL OF DIRTY MUSLIMS...ITS THE GOVERNMENTS FAULT FOR ALLOWING THS SHIT TO HAPPEN....SEND THE MILITARY IN..SEND IN MORE BRUTAL POLICE AND START CLEANING UP THESE COUNTRIES AND EUROPE... MUSLIMS ARE INVADING EUROPE AND WE ARE ALLOWING THIS TO HAPPEN. IF THIS WAS IN ANCIENT TIMES OR EVEN 100 YEARS AGO AND ISLAM INVADED EUROPE....IT WOULD BE AN ALL OUT WAR. BRING BACK THE CRUSADERS AND AN ...√¢¬Ä¬ò SS √¢¬Ä¬ò...STYLE NAZI POLICE.  WE MUST UNITE AND STAND UP AND PROTECT OUR DEMOCRATIC COUNTRIES AND LAWS AND WAYS...AND ELIMINATE ISLAM AND THROW THESE DIRTY  SMELLING MUSLIM...ANIMALS OUT AND SEND THEM BACK TO THEIR OWN COUNTRIES AND THEY CAN LIVE AS THEY WISH..THEY CAN FUCK THEIR GOATS AND RAPE THEIR OWN WOMEN..  FUCKING DISGUSTING MUSLIMS...LOW LIFE DIRTY RACE...AND ISLAM IS NIT GODS RELIGION...ITS A CULT..ITS A RIDICULOUS UNETHICAL AND IMORAL CULT..! √∞¬ü¬ò¬à√∞¬ü¬ò¬à ...ITS SATINS WORK..SATINS PREACHINGS.   GOD..THE CREATOR OF THE UNIVERSE....DOES NOT PREACH TO KILL INFIDELS AND KILL NON BELIEVERS... AND TO HAVE 3...4...5 WIVES AND COMMIT PEDOPHILIA..AND MARRY 9 YEAR OLD LITTLE GIRLS..!  MUSLIMS....WHO HAVE NEVER CONTRIBUTED TO HUMANITY....NEVER INVENTED ANYTHING ....NOTHING POSITIVE COMES FROM ISLAM...THEY CREATED NOTHING..INVENTED NOTHING...CONTRIBUTED NOTHING TO THE HUMAN RACE.... MUSLIMS, JUST LIVE IN OUR WESTERN DEMOCRATIC COUNTRIES...ENJOY OUR WAYS ..MILK THE WELFARE SYSTEM...AND RUIN THESE COUNTRIES...CREATE PROBLEMS...FIGHT...STEAL AND CREATE CRIME...SCARE PEOPLE...TR6 TO CHAGE OUR WESTERN WAY OF LIFE AND EVEN RAPE OUR WOMEN..  FUCK THESE COCKSUCKERS...BURN THEM ALL...IMPALE THEM...WE MUST FIGHT BACK AND UNITE AND CLEAN EUROPE UP AGAIN. SOON GOD WILL SEND HIS TRUE MESSENGER....TO PLANET EARTH √∞¬ü¬å¬è...GOD WILL SEND A CLEAR MESSAGE ...TO HUMANITY AND THE MUSLIM PEOPLE ...WILL FEEL THE WRATH OF GOD AND SUFFER THE CONSEQUENCES....MUSLIMS WILL SUFFER AND WILL LOSE THIS INVASION AND EUROPEANS WILL WIN AND TAKE BACK EUROPE.. This is the beginning of the new CRUSADES...Christianity vs Islam...the crusaders against Islam and we need to fight and protect our way of life and Democratic society..√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√¢¬ö¬î√Ø¬∏¬è√¢¬ö¬î√Ø¬∏¬è√¢¬ö¬î√Ø¬∏¬è√¢¬ö¬î√Ø¬∏¬è√¢¬ö¬î√Ø¬∏¬è√¢¬ö¬î√Ø¬∏¬è√∞¬ü¬ó¬°√∞¬ü¬ó¬°√∞¬ü¬ó¬°√∞¬ü¬ó¬°",1,"हमें नाजी पार्टी की वापसी की जरूरत है...एक और हिटलर को बुलाओ...और एसएस का गठन करो....और सभी मुसलमानों का जातीय सफाया शुरू करो...हां हां..उन्हें इकट्ठा करो...उन्हें अंदर रखो एक यातना शिविर... फिर इन मुस्लिम शरणार्थियों को एक जहाज़ पर बिठा दो और उन सभी को उनके अपने देशों में वापस भेज दो .... और वे वहां जैसा चाहें वैसा कर सकते हैं... अपने तरीके से और अपने हास्यास्पद कानूनों के अनुसार जिएं... वे नए पश्चिमी देशों को आत्मसात नहीं करते हैं..और हमें यह बताने की कोशिश करते हैं कि क्या करना है और यहां तक ​​कि यीशु को स्कूलों और अन्य सार्वजनिक क्षेत्रों से हटाने के लिए... क्या आप गंभीर हैं...गंदी महक वाले मुसलमानों को बंद करो... बंद करो हम अपने देशों में क्या कर सकते हैं या क्या नहीं कर सकते हैं, यह तय करना ... लोगों की शक्ति का उदय होना चाहिए और कहना चाहिए कि बहुत हो चुका है ... स्वीडन वापस स्वीडन के लिए ले लो ... ग्रीक के लिए ग्रीस वापस ले लो .. जर्मनी वापस ले लो .. पोलैंड वापस ले लो। .डेनमार्क वापस लो...हमारे देशों को बचाओ...और यूरोप को वापस लो। AN...एसएस...स्टाइल पुलिस...और इन सड़कों और बस्तियों को साफ करें...गंदे मुसलमानों से भरे...सरकारों की गलती है कि उन्होंने इस गंदगी को होने दिया...मिलिट्री को अंदर भेजा ..अधिक क्रूर पुलिस भेजें और इन देशों और यूरोप को साफ करना शुरू करें... मुसलमान यूरोप पर आक्रमण कर रहे हैं और हम ऐसा होने दे रहे हैं। यदि यह प्राचीन समय में या 100 साल पहले भी होता और इस्लाम ने यूरोप पर आक्रमण किया .... यह पूरी तरह से युद्ध होगा। जेहादियों और एक वापस लाओ ...√¢¬Ä¬ò SS √¢¬Ä¬ò...शैली नाजी पुलिस। हमें एकजुट होना चाहिए और खड़े होना चाहिए और अपने लोकतांत्रिक देशों और कानूनों और तरीकों की रक्षा करनी चाहिए... और इस्लाम को खत्म करना चाहिए और इन गंदी गंध वाले मुसलमानों को फेंक देना चाहिए...जानवरों को बाहर निकालो और उन्हें अपने देशों में वापस भेज दो और वे अपनी इच्छानुसार रह सकते हैं..वे अपनी बकरियों को चोद सकते हैं और अपनी औरतों का बलात्कार कर सकते हैं..घिनौने मुसलमानों को...कम जीवन गंदी नस्ल...और इस्लाम भगवान का धर्म नहीं है...यह एक पंथ है..यह एक हास्यास्पद अनैतिक और अनैतिक पंथ है..! √∞¬ü¬ò¬à√∞¬ü¬ò¬à ...इसका सैटिन्स वर्क..सैटिन्स प्रवचन। भगवान..ब्रह्मांड के निर्माता....काफिरों को मारने और गैर-विश्वासियों को मारने के लिए उपदेश नहीं देते हैं...और 3...4...5 पत्नियां रखें और बाल यौन शोषण करें..और 9 साल की छोटी लड़कियों से शादी करें ..! मुसलमान....जिन्होंने मानवता के लिए कभी योगदान नहीं दिया....कभी कुछ भी आविष्कार नहीं किया....इस्लाम से कुछ भी सकारात्मक नहीं आया...उन्होंने कुछ भी नहीं बनाया..कुछ भी आविष्कार नहीं किया...मानव जाति के लिए कुछ भी योगदान नहीं दिया.... मुसलमान, बस हमारे पश्चिमी लोकतांत्रिक देशों में रहते हैं... हमारे तरीकों का आनंद लें..दूध कल्याण प्रणाली...और इन देशों को बर्बाद करें...समस्याएं पैदा करें...लड़ें...चोरी करें और अपराध करें...लोगों को डराएं। ..TR6 हमारे जीवन के पश्चिमी तरीके को बदलने और यहां तक ​​​​कि हमारी महिलाओं के साथ बलात्कार करने के लिए .. इन कॉकस्कर्स को भाड़ में जाओ ... उन सभी को जलाओ ... उन्हें आग लगाओ ... हमें वापस लड़ना चाहिए और एकजुट होकर यूरोप को फिर से साफ करना चाहिए। जल्द ही भगवान अपना सच्चा दूत भेजेंगे....पृथ्वी ग्रह पर √∞¬ü¬å¬è...भगवान एक स्पष्ट संदेश भेजेंगे ...मानवता और मुस्लिम लोगों के लिए ...भगवान के क्रोध को महसूस करेंगे और परिणाम भुगतो....मुस्लिम पीड़ित होंगे और इस आक्रमण को खो देंगे और यूरोपीय जीतेंगे और यूरोप को वापस ले लेंगे.. यह नए धर्मयुद्ध की शुरुआत है...ईसाई धर्म बनाम इस्लाम...इस्लाम के खिलाफ धर्मयोद्धा और हमें इसकी आवश्यकता है लड़ो और हमारे जीवन के तरीके और लोकतांत्रिक समाज की रक्षा करो.."
Hindi,"We men enjoy the reproductive rights of paying for your abortion, the right to fund planned parenthood, the right to overpay on Obama care to fund contraception for promiscuous sluts. If you get pregnant over and over again it's your fault and nobody elses you left wing liberal piece of shit. Go be a whore. Keep spreading disease. Half of all black women have herpes. And we have the right to pay for it. You are outrageous.",1,"हम पुरुष आपके गर्भपात के लिए भुगतान करने के प्रजनन अधिकारों का आनंद लेते हैं, योजनाबद्ध पितृत्व को निधि देने का अधिकार, स्वच्छंद वेश्याओं के लिए गर्भनिरोधक निधि के लिए ओबामा की देखभाल पर अधिक भुगतान करने का अधिकार। यदि आप बार-बार गर्भवती हो जाती हैं तो यह आपकी गलती है और किसी और ने नहीं छोड़ी। जाओ वेश्या बनो। बीमारी फैलाते रहो। सभी अश्वेत महिलाओं में से आधी को दाद होता है। और हमें इसके लिए भुगतान करने का अधिकार है। आप निंदनीय हैं।"
Hindi,Watching this kid trying to step up and walk with that crutches is the best thing in the world. So idiot,1,उस बच्चे को क्रच वॉकर के साथ खड़े होकर चलने की कोशिश करते हुए देखना दुनिया की सबसे अच्छी चीज है। इतना मूर्ख होना।
Hindi,U SUCK SHIT YOU BLACK FUCK,1,"तू मदरचोद है, काले भैंस की तरह।"
Hindi,"transgenders need help...they are sick in the head. Civilization has messed up the world. Soon enough, people will claim to have the right to change to animals and it will be seen as human rights or right to choose",1,"ट्रांसजेंडर को मदद की जरूरत होती है... वे सिर में बीमार होते हैं। सभ्यता ने दुनिया को बिगाड़ दिया है। जल्द ही, लोग जानवरों में बदलने का हक़ रखने की दावा करेंगे और इसे मानव अधिकार या अधिकार का चयन कहा जाएगा।"
