text,label,Translations
Men do things for women without expecting sex.,1,Men do things for women without expecting sex.
"It's on, bitch!",1,"It's on, bitch!"
That stupid self-centered bastard wrote about our sex life on his blog.,1,That stupid self-centered bastard wrote about our sex life on his blog.
While I have no respect for Leslie as a scientist or human being we must acknowledge her experience in the field of promiscuity and general slutiness,1,While I have no respect for Leslie as a scientist or human being we must acknowledge her experience in the field of promiscuity and general slutiness
"Well, what are you going to do about it, bitch?",1,"Well, what are you going to do about it, bitch?"
"Well, dead whore on TV, live one in real life",1,"Well, dead whore on TV, live one in real life"
"The lucky bastard. It's gotta be that stupid accent of his. ""Hello, I'm Sanjay Wolowitz from Bombay.""",1,"The lucky bastard. It's gotta be that stupid accent of his. ""Hello, I'm Sanjay Wolowitz from Bombay."""
"Well, what are we waiting for? Let's bounce, bitches.",1,"Well, what are we waiting for? Let's bounce, bitches."
Then they named stupid Valerie Mosbacher head cheerleader. Big old slutbag.,1,Then they named stupid Valerie Mosbacher head cheerleader. Big old slutbag.
"Cause I’m the petty functionary with the clipboard, bitch",1,"Cause I’m the petty functionary with the clipboard, bitch"
"Now let’s talk about Priya, that man-stealing bitch",1,"Now let’s talk about Priya, that man-stealing bitch"
That crazy bastard’s looking at quirky in the rearview mirror,1,That crazy bastard’s looking at quirky in the rearview mirror
There are a lot of bitches out there,1,There are a lot of bitches out there
"I feel like I’m supposed to say ""that bitch"", but I don't have enough information.",1,"I feel like I’m supposed to say ""that bitch"", but I don't have enough information."
"Oh that gossipy bitch! No offense, Raj",1,"Oh that gossipy bitch! No offense, Raj"
I can’t believe old Smelly Pooper finally got laid,1,I can’t believe old Smelly Pooper finally got laid
It was nice until his wife called me a puta and made me stop,1,It was nice until his wife called me a puta and made me stop
It’s better to have loved and lost than to stay home every night and download increasingly shameful pornography,1,It’s better to have loved and lost than to stay home every night and download increasingly shameful pornography
"She engaged in interspecies hanky-panky, and people still call her great. I’m sure your reputation can survive you shagging a little Indian boy",1,"She engaged in interspecies hanky-panky, and people still call her great. I’m sure your reputation can survive you shagging a little Indian boy"
"All we have to do is move quickly over this ridge, the rock-worshipping pasty-faced bastards won’t know what hit them",1,"All we have to do is move quickly over this ridge, the rock-worshipping pasty-faced bastards won’t know what hit them"
Damn those sons of bitches!,1,Damn those sons of bitches!
"What the hell? The last time we went to the zoo, that son of a bitch made me buy him a churro",1,"What the hell? The last time we went to the zoo, that son of a bitch made me buy him a churro"
"Oh, cheesecake, you're just as good as women, even though I can't have sex with you",1,"Oh, cheesecake, you're just as good as women, even though I can't have sex with you"
Not that the rat bastards ever invited me.,1,Not that the rat bastards ever invited me.
"Oh, screw her! She’s just lucky we let her hang out with us",1,"Oh, screw her! She’s just lucky we let her hang out with us"
The growing realization that you are one wacky bastard? Yep.,1,The growing realization that you are one wacky bastard? Yep.
I’ve been doing some research on strippers,1,I’ve been doing some research on strippers
"You said you told me about all the girls you’ve been with, but you never mentioned your cousin, the prostitute or Raj!",1,"You said you told me about all the girls you’ve been with, but you never mentioned your cousin, the prostitute or Raj!"
"I’m curious what’s bothering you most, the borderline incest, the prostitute or group sex with the girl dressed as the children’s cartoon",1,"I’m curious what’s bothering you most, the borderline incest, the prostitute or group sex with the girl dressed as the children’s cartoon"
"That skank’s your problem, not mine",1,"That skank’s your problem, not mine"
"No. I meant that all women are slaves to their biological urges, you know? Even you. You’re a slave",1,"No. I meant that all women are slaves to their biological urges, you know? Even you. You’re a slave"
"You know what? Screw you, Sheldon!",1,"You know what? Screw you, Sheldon!"
You’re right. This is beneath me. Like your mother was last night,1,You’re right. This is beneath me. Like your mother was last night
"But instead of vampires, we had meth heads. But both came out at night and had messed up teeth",1,"But instead of vampires, we had meth heads. But both came out at night and had messed up teeth"
"Come on, numbnuts, it's the comic book store!",1,"Come on, numbnuts, it's the comic book store!"
"I don’t call anyone a hoe, and the only time I use the phrase my bitch, I’m referring to you",1,"I don’t call anyone a hoe, and the only time I use the phrase my bitch, I’m referring to you"
"My mom said pierced ears were for whores, pirates and genies",1,"My mom said pierced ears were for whores, pirates and genies"
"I’m saying, in the spirit of science, what is that little skank’s problem?",1,"I’m saying, in the spirit of science, what is that little skank’s problem?"
"Not really a great outfit for work, unless something opens up in the hookers and whores division",1,"Not really a great outfit for work, unless something opens up in the hookers and whores division"
"I know, but he was my friend first. It’s like she’s stealing him and they’re just having the best time doing all their dumb girly stuff together",1,"I know, but he was my friend first. It’s like she’s stealing him and they’re just having the best time doing all their dumb girly stuff together"
The only reason I came tonight was to get my parents off my case. I certainly don't need to be getting this Old World crap from you.,0,The only reason I came tonight was to get my parents off my case. I certainly don't need to be getting this Old World crap from you.
"May I point out, she wouldn't have asked me to go with her if you hadn't been drunk and boring.",0,"May I point out, she wouldn't have asked me to go with her if you hadn't been drunk and boring."
I wonder who's going to tell his parents they're not having grandchildren?,0,I wonder who's going to tell his parents they're not having grandchildren?
"I'm a Sagittarius, which probably tells you way more than you need to know.",0,"I'm a Sagittarius, which probably tells you way more than you need to know."
It's just a privilege to watch your mind at work.,0,It's just a privilege to watch your mind at work.
No one can be that attractive and this skilled at a video game.,0,No one can be that attractive and this skilled at a video game.
"Penny, if you promise not to chew the flesh off our bones while we sleep, you can stay.",0,"Penny, if you promise not to chew the flesh off our bones while we sleep, you can stay."
I often forget other people have limitations.,0,I often forget other people have limitations.
"You, my exotic young friend, are my star.",0,"You, my exotic young friend, are my star."
You're just gonna sit around here and mope while Penny is out with Dr. Apu from the Kwik-E-Mart,0,You're just gonna sit around here and mope while Penny is out with Dr. Apu from the Kwik-E-Mart
"Sheldon, don't take this the wrong way, but you're insane.",0,"Sheldon, don't take this the wrong way, but you're insane."
"Oh, no, no, no. It is on. I'm gonna introduce your friend to a world of hurt.",0,"Oh, no, no, no. It is on. I'm gonna introduce your friend to a world of hurt."
There’s no reason to feel uncomfortable just because we’ve seen each other’s faces and naked bodies contorted in the sweet agony of coitus,0,There’s no reason to feel uncomfortable just because we’ve seen each other’s faces and naked bodies contorted in the sweet agony of coitus
"You know, for a smart guy, you really seem to have a hard time grasping the concept, don’t piss off the people who handle the things you eat",0,"You know, for a smart guy, you really seem to have a hard time grasping the concept, don’t piss off the people who handle the things you eat"
"My mom paid my cousin to take me, but he just used the money to buy drugs",0,"My mom paid my cousin to take me, but he just used the money to buy drugs"
"Okay, um, hey, God. What’s up? Um, I’m good, but, uh, it would be a big help to my family if you could get my brother to stop cooking meth. But no cops. Be cool",0,"Okay, um, hey, God. What’s up? Um, I’m good, but, uh, it would be a big help to my family if you could get my brother to stop cooking meth. But no cops. Be cool"
"She also goes a little overboard on the love thy neighbour. Could probably use that chat you had with Mary Magdalene. Leonard, you’re up. Wasserman, you’re on deck",0,"She also goes a little overboard on the love thy neighbour. Could probably use that chat you had with Mary Magdalene. Leonard, you’re up. Wasserman, you’re on deck"
"Hey, you know, my mom smoked pot when she was pregnant with me, and I turned out just fine.",0,"Hey, you know, my mom smoked pot when she was pregnant with me, and I turned out just fine."
"Hey, look, I have peach schnapps. Thank God",0,"Hey, look, I have peach schnapps. Thank God"
"Well, I want to go get my asthma inhaler, but it might ruin the moment. Just, just help me out here. How does a miserable date end in sex?",0,"Well, I want to go get my asthma inhaler, but it might ruin the moment. Just, just help me out here. How does a miserable date end in sex?"
"No, I had a cover story, I told everyone it was herpes. So, how’s everything going with you and Leonard?",0,"No, I had a cover story, I told everyone it was herpes. So, how’s everything going with you and Leonard?"
