text,label,Translations
It's over for me. I'm done with women.,0,मुझसे नहीं हो रहा। मैं महिलाओं से निपटने से तंग आ गया हूँ।
Cause you're a man. The champagne of genders.,0,क्योंकि तुम एक मर्द हो। जेंडर का शैम्पेन।
"Well, I may be a man, but I think I'm the one that screwed up on this one.",0,"अच्छा, मैं मर्द हूं, लेकिन मुझसे गलती हुई है, यह मुझे लगता है।"
"Yeah, well, and you admit it, like a man.",0," हाँ, ठीक है, तुम मर्द की तरह स्वीकार करते हो।"
She plays the harp and her car is paid for. How much happier can she be?,0,वह आरंभ हार्प बजाती है और उसकी कार का भुगतान हो गया है। उससे ज्यादा खुश कैसे हो सकती है?
Would you mind opening the door and then angrily slamming it behind me?,0,क्या आप दरवाजा खोलकर मेरे पीछे अंग्रेजी मारते हुए नहीं भागने देंगे?
"I think you need to do some editing, like maybe cut out all that stuff about your childhood.",0,"मुझे लगता है आपको कुछ संपादन करना चाहिए, जैसे अपने बचपन के बारे में सब छोड़कर।"
"Two, at the beginning and end of all business and social meetings, shake hands with everyone present. Men, women and children.",0,"सभी व्यवसायिक और सामाजिक मीटिंग की शुरुआत और अंत में, सभी मौजूद लोगों से हाथ मिलाएं। पुरुष, महिलाएं और बच्चे।"
"If you're offended, take it up with the English language.",0,"अगर आपको अपमानित किया जा रहा है, तो इसे अंग्रेज़ी भाषा से लेकर जाएं।"
Don't put yourself down. You're very attractive. It wouldn't kill you to take a Pilates class with me now and then....but you have a certain wiry appeal,0,अपने आप को नीचा मत धोखा दो। तुम बहुत आकर्षक हो। कुछ नहीं होगा अगर तुम अब और फिट रहने के लिए पिलेट्स क्लास करते हो।... पर तुममें वही कुछ नीचापन है।
It was just a question. He's so sensitive.,0,बस एक सवाल था। वह बहुत संवेदनशील है।
Why are you telling me about my own culture?,0,मेरी खुद की संस्कृति के बारे में तुम मुझसे क्यों बात कर रहे हो?
It might speak to a cultural aspiration to have one's children enter the medical profession.,0,यह एक सांस्कृतिक आकांक्षा का दर्शाता हो सकता है कि अपने बच्चों को चिकित्सा व्यवसाय में डालने की।
"If I don't call her, I won't hear the end of it from my parents.",0,"अगर मैं उसे कॉल नहीं करता, तो मेरे माता-पिता मुझे अकेले नहीं छोड़ेंगे।"
How can I be a gynecologist? I can barely look a woman in the eye!,0,मैं कैसे गाइनेकोलॉजिस्ट हो सकता हूं? मैं तो महिलाओं की आँखों में भी नहीं देख सकता!
I'm not going to let my parents control my future any longer. It's time for a showdown.,0,मैं अपने माता-पिता को अब अपने भविष्य को नियंत्रित करने नहीं दूंगा। अब तो समय है उनसे मुकाबले का।
That woman looks exactly like the pictures of Princess Panchali in the book.,0,वह स्त्री बुक में प्रिंसेस पंचाली की तस्वीरों के तरह दिखती है।
You are the living embodiment of the beautiful Princess Panchali.,0,तुम खूबसूरत प्रिंसेस पंचाली की जीवित प्रतिमूर्ति हो।
I can practically smell the lotus blossoms woven into your ebony hair.,0,मैं लोटस के फूलों की खुशबू को आपके काले बालों में बुने हुए महसूस कर सकता हूं।
"If you do not stop hitting on my lady, you'll feel the full extent of my wrath.",0,"अगर तुम मेरी लेडी को चेंटा मारना नहीं बंद करोगे, तो मैं तुम्हें पूरी ताकत से महसूस करवाऊंगा।"
"Is Penny crying? No, of course not. They thrive on our suffering.",1,"क्या पेनी रो रही है? नहीं, बेशक। वे हमारे दुख और भी बढ़ाते हैं।"
"Well, you should think fast, because men can sire offspring their entire lives, but those eggs you're toting around have a sell-by date.",1,"अच्छा, जल्दी सोचो, क्योंकि पुरुष अपनी पूरी ज़िन्दगी तक अंडों का नास्ता कर सकते हैं, लेकिन आप जितने अंडे साथ ले रहीं हैं, उनकी एक बिक्री तिथि होती है।"
"You're immature, you're selfish, you just insulted me to my face.",1,"तुम अविवेकी हो, तुम असभ्य हो, तुमने मुझे अपने सामने अपमानित किया है।"
"Oh, you're right. I could never be with a woman whose self-esteem was so low she'd be with Leonard.",1,"ओह, तुम सही हो। मैं कभी एक महिला के साथ नहीं रह सकती जिसका आत्मसम्मान इतना कम हो कि वह लेनार्ड के साथ हो सकती है।"
Would you like to hear another reason why men are better than women?,1,क्या आप चाहेंगे कि मैं आपको एक और कारण बताऊं कि पुरुष महिलाओं से बेहतर हैं?
"Yeah, well, and you admit it, like a man. All you hear women say is, ""I'll just have a salad."" You know? ""Where's my lip gloss?"" ""I think this element should be called radium.""",1,"हां, तुम स्वीकार करते हो, जैसे एक आदमी। सब जो महिलाएँ कहती हैं, ""मैं बस एक सलाद खा लूंगी।"" नहीं जानते? ""मेरा लिप ग्लॉस कहाँ है?"" ""मुझे लगता है कि इस तत्व को रेडियम कहा जाना चाहिए।"""
"Turns out, being sweet isn't enough to keep a girl these days.",1,पता चला कि मीठापन आजकल एक लड़की को नहीं बरकरार रखने के लिए काफी नहीं है।
"I always knew I'd wind up on this stage. And everybody who said I wouldn't, looks pretty darn foolish right now.",1,"मुझे हमेशा से पता था कि मैं इस मंच पर पहुंचूंगा। और जो भी लोग कहते थे कि मैं नहीं पहुंचूंगा, वे अब बहुत मूर्ख लग रहे हैं।"
"Humility is for people who win the goofy Nobels, like Literature, Economics and Peace.",1,"विनम्रता उन लोगों के लिए होती है जो अजीबोगरीब नोबेल पुरस्कार जीतते हैं, जैसे साहित्य, अर्थशास्त्र और शांति।"
"You know, you're proving to be an invaluable part of my entourage.",1,तुम मेरी एंटुराज के एक अमूल्य अंग साबित हो रहे हो।
"She is clearly sick, and she's gonna take us all down with her. She is, and I'm gonna catch it, and it's gonna ruin the greatest day of my life.",1,"वह स्पष्ट रूप से बीमार है और वह हम सबको साथ ले जाएगी। वह ऐसी है, और मैं उसे पकड़ूंगा और यह मेरे जीवन के सबसे बड़े दिन को बर्बाद कर देगा।"
"Oh, please, you couldn't upstage us. We won a Nobel Prize. Any idiot can have a baby.",1,"ओह, कृपया, तुम हमें ऊपर हटा नहीं सकते। हमने नोबेल पुरस्कार जीता है। कोई भी बच्चा पैदा कर सकता है।"
You are a selfish jerk. To hell with you and your Nobel Prize.,1,तुम एक स्वार्थी बेईमान हो। भगवान आपके और आपके नोबेल पुरस्कार से बचाए।
And are your parents are comfortable with your limited earning potential?,1,और आपके माता-पिता आपके सीमित कमाई के अनुकूल हैं?
The little fat girl that used to kick me in the samosas and call me untouchable?,1,वह छोटी मोटी मोटी लड़की जो मुझे समोसे में मारती थी और मुझे अनुच्छेदी कहती थी?
"That must have been difficult for you because you were so, so fat.",1,तुम्हारे लिए यह कठिन होना चाहिए था क्योंकि तुम इतने मोटे थे।
Of course you do. Who could forget being that fat?,1,बेशक तुम्हें याद होगा। उतना मोटा होना कौन भूल सकता है?
Isn't it great? She isn't fat anymore.,1,यह तो बहुत अच्छा है। अब वह मोटी नहीं है।
I'll tell you what happened. I just learned how to pick up Indian chicks.,1,मैं बताता हूं क्या हुआ। मैंने बस भारतीय लड़कियों को पटाना सीख लिया है।
"Oh, maybe a couple virgin Cuba Libres that turned out to be kind of slutty",1,"ओह, शायद कुछ वर्जिन क्यूबा लिब्रेस थे जो किसी से चुंबन लेने को तैयार हो गए।"
